MONTO;DESCRIPCIÓN MOVIMIENTO;;FECHA;N° DOCUMENTO;SUCURSAL;;CARGO/ABONO
102.600;Depósito en Efectivo;;02/06/2025;003826955;ANTOF.PZA.EXPRESSO;;A
143.050;Depósito en Efectivo;;02/06/2025;003826949;ANTOF.PZA.EXPRESSO;;A
27.700;Depósito en Efectivo;;02/06/2025;003826950;ANTOF.PZA.EXPRESSO;;A
150.000;0765694787 Transf. X5 SOLUCIONES C;;03/06/2025;001600119;Agustinas;;A
40.000;0761002317 Transf. COMERCIALIZADOR;;03/06/2025;001600119;Agustinas;;A
41.650;0767166451 Transf.;;03/06/2025;003925153;Agustinas;;A
70.000;0184937174 Transf. GONZALEZ CORTES;;03/06/2025;001425060;Agustinas;;A
70.000;0156504157 Transf. OYARZUN HENRIQU;;03/06/2025;001202683;Agustinas;;A
40.000;0155554975 Transf. SALINAS LEON MA;;03/06/2025;001202730;Agustinas;;A
119.000;0970060006 PAGO PROVEEDOR BANCO D;;03/06/2025;000000000;G.Finanzas;;A
190.400;0970060006 PAGO PROVEEDOR BANCO D;;03/06/2025;000000000;G.Finanzas;;A
29.003.609;0966893109 ABN CRD DB TRAN TRANSBA;;03/06/2025;000000000;G.Finanzas;;A
50.000;0114360511 Transf. GAETE FERNANDEZ;;03/06/2025;001203093;Agustinas;;A
408.250;Dep Efect Servipag 00760638226;;03/06/2025;002798454;SPAG MALL PASEO BALM;;A
114.550;Depósito en Efectivo;;03/06/2025;000707690;P.Montt Co;;A
79.700;Depósito en Efectivo;;03/06/2025;000707691;P.Montt Co;;A
150.050;Depósito en Efectivo;;03/06/2025;003120841;P.Montt Co;;A
75.000;Depósito en Efectivo;;03/06/2025;003120840;P.Montt Co;;A
179.350;Depósito en Efectivo;;03/06/2025;003091977;VILLANELO EXPRESSO;;A
40.000;0055444161 Transf. Myrna Del Carme;;03/06/2025;000111973;Agustinas;;A
192.300;Depósito en Efectivo;;03/06/2025;002826141;Ovalle;;A
200.000;86.326.000-0 Transf. BARRENA H;;03/06/2025;000000000;Agustinas;;A
119.150;Depósito en Efectivo;;03/06/2025;004126219;Quillota;;A
104.850;Depósito en Efectivo;;03/06/2025;041262201;Quillota;;A
212.400;Depósito en Efectivo;;03/06/2025;004126221;Quillota;;A
154.350;Depósito en Efectivo;;03/06/2025;004126215;Quillota;;A
243.950;Depósito en Efectivo;;03/06/2025;004126216;Quillota;;A
169.450;Depósito en Efectivo;;03/06/2025;004126217;Quillota;;A
165.400;Depósito en Efectivo;;03/06/2025;004126214;Quillota;;A
59.500;0128786589 Transf. Cristian Albert;;03/06/2025;000111973;Agustinas;;A
30.350;Dep Efect Servipag 00760638226;;03/06/2025;001241334;SPAG MIRAFLORES;;A
5.000;Dep Efect Servipag 00760638226;;03/06/2025;000818279;SPAG MIRAFLORES;;A
5.000;Dep Efect Servipag 00760638226;;03/06/2025;000818278;SPAG MIRAFLORES;;A
10.000;Dep Efect Servipag 00760638226;;03/06/2025;000818277;SPAG MIRAFLORES;;A
3.000;Dep Efect Servipag 00760638226;;03/06/2025;000818276;SPAG MIRAFLORES;;A
3.000;Dep Efect Servipag 00760638226;;03/06/2025;000818275;SPAG MIRAFLORES;;A
285.600;0995285401 Transf.;;03/06/2025;003925154;Agustinas;;A
70.000;010259441K Transf.;;03/06/2025;003925154;Agustinas;;A
50.000;005474885K Transf. ROYO WICHMANN R;;03/06/2025;001203131;Agustinas;;A
399.950;Depósito en Efectivo;;03/06/2025;000000504;L.AngelesP;;A
2.407.050;Depósito en Efectivo;;03/06/2025;000007969;L. Angeles;;A
5.052;0995469006 Transf. Iswitch SA;;03/06/2025;000100003;Agustinas;;A
131.953;0995469006 Transf. Iswitch SA;;03/06/2025;000100003;Agustinas;;A
18.192;0995469006 Transf. Iswitch SA;;03/06/2025;000100003;Agustinas;;A
39.200;Dep Efect Servipag 00760638226;;03/06/2025;001241381;SPAG CONCHALI;;A
47.450;Dep Efect Servipag 00760638226;;03/06/2025;000139065;SPAG CONCHALI;;A
40.500;Dep Efect Servipag 00760638226;;03/06/2025;000846603;SPAG CONCHALI;;A
10.400;Dep Efect Servipag 00760638226;;03/06/2025;002942249;SPAG CONCHALI;;A
12.800;Dep Efect Servipag 00760638226;;03/06/2025;002942250;SPAG CONCHALI;;A
50.000;013186499K Transf de MONICA ISABEL;;03/06/2025;000000000;O.Gerencia;;A
202.750;Depósito en Efectivo;;03/06/2025;001810659;S.Bernardo;;A
385.450;Depósito en Efectivo;;03/06/2025;002810658;S.Bernardo;;A
104.850;Depósito en Efectivo;;03/06/2025;004047071;Valdiv. Ar;;A
39.550;Depósito en Efectivo;;03/06/2025;003271428;Valdiv. Ar;;A
83.100;Depósito en Efectivo;;03/06/2025;002099937;Valdiv. Ar;;A
68.100;Depósito en Efectivo;;03/06/2025;003271430;Valdiv. Ar;;A
412.800;Depósito en Efectivo;;03/06/2025;001727544;S.Bernardo;;A
63.500;Dep Efect Servipag 00760638226;;03/06/2025;004699038;SPAG CONCHALI;;A
74.250;Dep Efect Servipag 00760638226;;03/06/2025;003881536;SPAG CONCHALI;;A
72.150;Dep Efect Servipag 00760638226;;03/06/2025;003881537;SPAG CONCHALI;;A
118.250;Dep Efect Servipag 00760638226;;04/06/2025;003881538;SPAG CONCHALI;;A
234.650;Dep Efect Servipag 00760638226;;04/06/2025;003881540;SPAG CONCHALI;;A
671.500;Dep Efect Servipag 00760638226;;04/06/2025;003424675;SPAG MAIPU;;A
193.750;Dep Efect Servipag 00760638226;;04/06/2025;002828339;SPAG CITY PT OVALLE;;A
1.549.500;0968986708 Transf. ABAN S A;;04/06/2025;001600119;Agustinas;;A
40.000;Depos.Docto.O.Bancos;;03/06/2025;         ;Quillota;;A
